Entry Name,SID,Item Group Name,Attribute 1 Name,Attribute 1 Option,Attribute 2 Name,Attribute 2 Option,Attribute 3 Name,Attribute 3 Option,Quantity,Unit,Min Level,Price,Value,Notes,Tags,Primary Folder,Subfolder-level1,Subfolder-level2,Subfolder-level3,Subfolder-level4,Photo1,Photo2,Photo3,Photo4,Photo5,Photo6,Photo7,Photo8,Barcode/QR1-Data,Barcode/QR1-Type,Barcode/QR2-Data,Barcode/QR2-Type,WO Date,Purchase date OverRide,Purchase Order Number,Work Order Number,Model/Part Number,Bar Code,Bar Code-BarcodeType,Sell price
LIQUID NAILS REGULAR SIZE,S73XAT0789,,,,,,,,24,units,,0,0,10-01120,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caulking Latex, Sil",S73XAT0016,,,,,,,,1,units,,4.49,4.49,10-00200,CARPENTRY,9-15 adrian 1d,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_pn0ATL2-_GUYHJVWIww5I9IFmkhPDdtn2UQZBbpyX-VQKtiNm5s0zQ==,,,,,,,,sy://o2/e_qrcode_us/S73XAT0016,com.sortly.sortlyLabel,70798181014,org.gs1.EAN-13,,,,,,70798080010,org.gs1.EAN-13,6.06
Duo Strainers,S73XAT0505,,,,,,,,1,units,,2.98,2.98,35-00200,PLUMBING,9-15 adrian 1d,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_WmNMEtPP8IROxDF0mxa4DrbsVqej7tBCaBh00WENhyMAcBEIIwrLsg==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0505,com.sortly.sortlyLabel,7.30008E+11,org.gs1.EAN-13,,,,,,,,4.74
Gerber Deck Faucet 42-406 (kitchen),S73XAT0697,,,,,,,,1,units,,119.95,119.95,35-00600,PLUMBING,9-15 adrian 1d,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_WKkpWZcY2_0yJXVBC_52uYUbun1B0J8_Yfur1o3caGeRYWlpXLM3jw==,https://lnk.sortly.co/v2/downloads/photo/v2_f4ew9wb_MTd7gvshoo_wPYPof3jSMZ0LYgGuH27MpLkFZrKFd9SuNQ==,https://lnk.sortly.co/v2/downloads/photo/v2_5NYHv-8wYCR7oK7kv0B6PMybkQnioL8L0YdPIx9-A-1mVB9mbGU-ww==,,,,,,sy://o2/l_qrcode_us/S73XAT0697,com.sortly.sortlyLabel,6.71053E+11,org.iso.Code128,,,,,,,,174.83
"Pipe Elbow 90, 12"" Roughbrass",S73XAT0503,,,,,,,,1,units,,10,10,35-01085,PLUMBING,9-15 adrian 1d,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_KzhkMjTv1uP_PDoYoLiHzsiKuqngNkthHRvPfgmmfwGdBAJQVHWGhA==,https://lnk.sortly.co/v2/downloads/photo/v2_uUt-QaZU_THcgd5dEt7-DASox1KHso8TCrfyMEY_0sElJpw-njTknA==,,,,,,,sy://o2/l_qrcode_us/S73XAT0503,com.sortly.sortlyLabel,7.53E+11,org.gs1.EAN-13,,,,,,,,13.5
"Pipe Elbow 90, 18"" Roughbrass",S73XAT0518,,,,,,,,1,units,,5.14,5.14,35-01086,PLUMBING,9-15 adrian 1d,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_vqECJM-qFNK44HW2uqSTuiq2kjURvtcCpEMOj3OYEQmyJRgaxTZZVw==,https://lnk.sortly.co/v2/downloads/photo/v2_GuPuYrGKWvBuxFBNHqMq72Ujc8sqrdf8OSwmRZ276VhizXGv4OxyEQ==,https://lnk.sortly.co/v2/downloads/photo/v2_8ySsUizegPOwxj9NWkjx4-a0TTzii0zXx5Wt35RXOhj9rSHi454iqQ==,,,,,,sy://o2/l_qrcode_us/S73XAT0518,com.sortly.sortlyLabel,7.53E+11,org.gs1.EAN-13,,,,,,,,10.95
"Sink, Stainless Steel 25"" x 22""",S73XAT0520,,,,,,,,1,units,,31.5,31.5,35-01400,PLUMBING,9-15 adrian 1d,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_lGyFjud5C3gmsGg6VcJXsfqj8ZKdoCC9Sj9Hjx79dBry9xryQFMnag==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0520,com.sortly.sortlyLabel,,,,,,,,,,66
"Tailpiece, 1 1/2 x 12 RB flange",S73XAT0528,,,,,,,,1,units,,4.16,4.16,35-01951,PLUMBING,9-15 adrian 1d,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_n-AIzQ5r6YUCd-Qip7vumQYVMCZkMX6EVtmCy4zTYRTRbeTKae8Rcg==,https://lnk.sortly.co/v2/downloads/photo/v2_a4V5B-Ca7FHXGtQayUilJK0CKlYYrCklgVBtAbSxJ0aMPew8ZVIdcA==,,,,,,,sy://o2/l_qrcode_us/S73XAT0528,com.sortly.sortlyLabel,7.53E+11,org.gs1.EAN-13,,,,,,,,7.25
"10"" Toilet complete",S73XAT0729,,,,,,,,0,units,,197.45,0,36-00090,,<<Inventory>>,,,,,,,,,,,,,sy://o2/m_qrcode_us/S73XAT0729,com.sortly.sortlyLabel,,,,,,,,,,266.55
"12"" Toilet Complete",S73XAT0730,,,,,,,,0,units,,167.7,0,36-00095,,<<Inventory>>,,,,,,,,,,,,,sy://o2/m_qrcode_us/S73XAT0730,com.sortly.sortlyLabel,,,,,,,,,,226.4
6- MIL POLY SHEETING/BOX,S73XAT0500,,,,,,,,131,units,,46.44,6083.64,30-02100,PAINT,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_DwKAvy0Zepd2qKpqngYtwTP3dUypANCCtvz_vdmMvMwDyYmwgp2ZAg==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0500,com.sortly.sortlyLabel,D31077/1.R.44,org.iso.Code128,,,,,,,,62.69
A/C Window Brackets,S73XAT0570,,,,,,,,39,units,,44.99,1754.61,40-00040,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_dzIUvNJLrNxH8rjySoodvtMQMantAErsGfNHfnNgnzDHbTua63oNyw==,https://lnk.sortly.co/v2/downloads/photo/v2_UawQibNAf7U_MebxRwX4-y3u14QFQrRIx0bPFsQt5yNKY0AlL5l2ZQ==,,,,,,,sy://o2/l_qrcode_us/S73XAT0570,com.sortly.sortlyLabel,1.01E+13,org.ansi.Interleaved2of5,,,,,,11572051741,org.gs1.EAN-13,60.74
Adhesive Glue VCT 1 gallon,S73XAT0015,,,,,,,,54,units,,22.5,1215,10-00100,CARPENTRY,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_kkBjQzn9UDQndt5v-Qc-RaVmc_2j2p7GSpEFb7Kje-PkxNNJD4wZLA==,,,,,,,,sy://o2/l_qrcode_us/S73XAT0015,com.sortly.sortlyLabel,81833002744,org.gs1.EAN-13,,,,,,1.01E+13,org.ansi.Interleaved2of5,31.64
Ajax Cleanser 21oz,S73XAT0597,,,,,,,,286,units,,1.24,354.64,40-00050,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_rgcWIaer1hKXEw1sidqh-TNn_wDxKfHdLG9GPWkow-wMgP55sam5eA==,,,,,,,,sy://o2/l_qrcode_us/S73XAT0597,com.sortly.sortlyLabel,35110142784,org.gs1.EAN-13,,,,,,1.00E+13,org.ansi.Interleaved2of5,1.67
"Alarm, Battery smoke alarms",S73XAT0703,,,,,,,,0,units,,19.95,0,40-00100,SUPER,<<Inventory>>,,,,,,,,,,,,,,,,,,,,,,,,
"Ammonia, 1 gallon",S73XAT0594,,,,,,,,92,units,,3.67,337.64,40-00250,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_wKltQ5GedQkKiGFiW-TCZapKQza_NMrZFpZjwMgfBrk8lmC4fR1v-A==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0594,com.sortly.sortlyLabel,1.00E+13,org.ansi.Interleaved2of5,,,,,,,,5.72
"Ammonia, 1 gallon",S73XAT0594,,,,,,,,20,units,,3.67,73.4,40-00250,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_GKNWpIX4pRnp9FX1ZRN9849PkIVeBEsTNk1kgmCxcHSecrNsVCobzA==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0594,com.sortly.sortlyLabel,1.00E+13,org.ansi.Interleaved2of5,,,,,,,,5.72
BENJ MOORE 5 GAL SG,S73XAT0486,,,,,,,,5,units,,110,550,30-02150,PAINT,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_S-RD0WVzWKgAmkZF1To04kBnaVp3wJ3zDpVNaLd5hW9l1eDK6_mORA==,,,,,,,,sy://o2/l_qrcode_us/S73XAT0486,com.sortly.sortlyLabel,23906096366,org.gs1.EAN-13,,,,,,23906096328,org.gs1.EAN-13,148.5
BENJ MOORE 5 GAL SG,S73XAT0486,,,,,,,,1,units,,110,110,30-02150,PAINT,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_C_3guLCPvER0CAg6IrCPomCIrzq4z1UvKe-tJTVcveAPgKf5gs9YOQ==,,,,,,,,sy://o2/l_qrcode_us/S73XAT0486,com.sortly.sortlyLabel,23906096366,org.gs1.EAN-13,,,,,,,,148.5
BM DECORATORS WHITE SG 5 GALLON,S73XAT0694,,,,,,,,2,units,,100,200,30-00650,PAINT,<<Inventory>>,,,,,,,,,,,,,,,,,,,,,,,,
Bags Mattress Queen/King,S73XAT0598,,,,,,,,116,units,,3.53,409.48,40-00776,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_laP3Qfa8iZx_LeoHrOf5PlImNRw5Oz7VGqmR6SidHRULGV9E_lF7Mg==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0598,com.sortly.sortlyLabel,7.36E+11,org.gs1.EAN-13,,,,,,,,5.55
Bags Mattress Queen/King,S73XAT0598,,,,,,,,6,units,,3.53,21.18,40-00776,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_ShDbCVgNO2PeAXzZr6d9LvHEpF7faOcllS8sVo_G3EQZPSaENwP7ew==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0598,com.sortly.sortlyLabel,7.36E+11,org.gs1.EAN-13,,,,,,,,5.55
Bags Mattress Twin/Full,S73XAT0586,,,,,,,,266,units,,2.4,638.4,40-00775,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_9vETaFyQtLSmGsFnlXEpCuxFd8WBbsmJRk38xnXHyCCHyBHtC_tYyA==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0586,com.sortly.sortlyLabel,7.36E+11,org.gs1.EAN-13,,,,,,,,
"Bags, 45XXH Small",S73XAT0560,,,,,,,,37,units,50,22.77,842.49,40-00550,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_YwKG4PDH6UxHGZfJ89kJ2SWywGAA4MVYio4o3E8v9wU6Y_SR1dhGiA==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0560,com.sortly.sortlyLabel,D34301/1.R.27,org.iso.Code128,,,,,,,,
"Bags, Blue Recycle 55 gal",S73XAT0583,,,,,,,,210,units,,26.32,5527.2,40-00350,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_vcNghW42s08s6bIhmPzijIGFSh5ga-kSF_Ldo36FNCu5prIfU92hPA==,https://lnk.sortly.co/v2/downloads/photo/v2_Scfv5bEfWz-aphL6Mpi09RCuea_rdYE8TH2RnTCOokA2D_541OlESg==,,,,,,,,,,,,,,,3855125RBLU,,,35.53
"Bags, Blue Recycle 55 gal",S73XAT0583,,,,,,,,70,units,,26.32,1842.4,40-00350,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_DNJbcrKTyuhApGVgCAVeV-n2Ls9B9u9f57CkHpZVYcPGbshEV0rCjA==,https://lnk.sortly.co/v2/downloads/photo/v2_2UW69x5FTIyRuNM95MHPQbu9w-LQUlf7TKcrjzjPvlQAJXkvry7dwg==,,,,,,,,,,,,,,,3855125RBLU,,,35.53
"Bags, Blue Recycle 55 gal",S73XAT0583,,,,,,,,2,units,50,26.32,52.64,40-00350,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_rGimrYIOQ_g8yn7u7VLjXSkmcrzl3sEGBqiHrDPJYMHcCrpaCigkGA==,https://lnk.sortly.co/v2/downloads/photo/v2_yk13zZd_m5Y0qE8naVkjfpY059D3HjoomFClOCvM2EO3JkVi6euXpA==,,,,,,,sy://o2/l_qrcode_us/S73XAT0583,com.sortly.sortlyLabel,,,,,,,3855125RBLU,,,35.53
"Bags, Clear Recycle 55 gal",S73XAT0574,,,,,,,,180,units,,16.64,2995.2,40-00450,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_K6fimd7Ru4hUcHdWXP_jjI-lJbTlPPU3y310tSFUW2OMq0XOKWHYpg==,https://lnk.sortly.co/v2/downloads/photo/v2_2q8tKjWvbaZNGIWP20u5H319QHJSRCWMS0SFAFnreqMITFyDZgzzyQ==,https://lnk.sortly.co/v2/downloads/photo/v2_pCuNl-L5A6JbNk5OIoYAp-0nqtwODvH11DUA6Mcz-c-4wrCYRLkIog==,,,,,,,,D34308/1.R.431,org.iso.Code128,,,,,,,,35.96
"Bags, Compactor 29""",S73XAT0582,,,,,,,,65,units,40,31.23,2029.95,40-00500,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_mHfGY4UnxIcz5Zm3hHjg0js9i2f4mfdFkzQwuCNOnW_7pi7ytl5lJQ==,https://lnk.sortly.co/v2/downloads/photo/v2_bSq7hkjEU8paZpsg4zmva6FdLe0FlRUWPcZp4H7czJaO6IV5UUlzfA==,,,,,,,sy://o2/l_qrcode_us/S73XAT0582,com.sortly.sortlyLabel,,,,,,,Cj294BPT,,,42.16
"Bags, Garbage (Alltype) 29 x 33 Heavy Duty",S73XAT0593,,,,,,,,93,units,,26.92,2503.56,40-00750,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_A2iaPDCNfMPYqERpcl5FAwspXf83Wanr05eQXsFpbkgqaM4ud4XZ2A==,,,,,,,,sy://o2/l_qrcode_us/S73XAT0593,com.sortly.sortlyLabel,D34739/1.R.31,org.iso.Code128,,,,,,,,
"Bags, Garbage 23x17x46 Regular",S73XAT0709,,,,,,,,325,units,,27.78,9028.5,40-00600,SUPER,<<Inventory>>,,,,,,,,,,,,,,,,,,,,,,,,37.5
"Bags, Garbage 23x17x46 Regular",S73XAT0709,,,,,,,,19,units,60,27.78,527.82,40-00600,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_imWgjPmc8P94yX7PJy0q1T9_pC0JF3Bu7LLbOHoxErtvgl4qhzpvZw==,,,,,,,,sy://o2/l_qrcode_us/S73XAT0709,com.sortly.sortlyLabel,,,,,,,,,,37.5
"Bags, Garbage 48XXH Large",S73XAT0585,,,,,,,,13,units,30,36.02,468.26,40-00700,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_2pqx16YxTwB0pURaUgrD8WUxFD_H-ExVZvPKQPVzdTCMwER994ahxg==,https://lnk.sortly.co/v2/downloads/photo/v2_N74p5iQ9Z5lS5hcu3nTQZMAMy1VuSB-dl6lX9DNJAQbo7BzTjwabfA==,,,,,,,sy://o2/l_qrcode_us/S73XAT0585,com.sortly.sortlyLabel,,,,,,,CJ5048225BR,,,48.63
"Balance, 15/30",S73XAT0748,,,,,,,,1,units,,0,0,40-02300,,<<Inventory>>,,,,,,,,,,,,,,,,,,,,,,,,6.95
"Balance, 21/20",S73XAT0746,,,,,,,,12,units,,0,0,40-01100,,<<Inventory>>,,,,,,,,,,,,,,,,,,,,,,,,6.95
"Balance, 27/40",S73XAT0687,,,,,,,,17,units,,0,0,40-02000,SUPER,<<Inventory>>,,,,,,,,,,,,,,,,,,,,,,,,
"Balance, 29/30",S73XAT0573,,,,,,,,25,units,,6.95,173.75,40-02100,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_mOSUykUP5OgI3LG4_iyjBB2W4sloNnZypN_Va6VviOqgCP6Wp-FlgQ==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0573,com.sortly.sortlyLabel,,,,,,,,,,9.38
"Balance, 29/40",S73XAT0599,,,,,,,,0,units,,0,0,40-02150,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_Xsw3SR9F3NheGuT2r9Q8tbfSSzj2M-7aAy_pw0a44rTtwX2wExyxhw==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0599,com.sortly.sortlyLabel,,,,,,,,,,
"Balance, 30/30",S73XAT0587,,,,,,,,69,units,,5.25,362.25,40-02200,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_eVoh4Ut9tuB3-7qzAb8HCJfaEnxAQxQT42C4Deao9lHm5G7AKBJ8cw==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0587,com.sortly.sortlyLabel,,,,,,,,,,7.09
"Balance, 31/30",S73XAT0590,,,,,,,,10,units,,5.25,52.5,40-02500,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_WHJIBlGFVWxYL5CaYevA-O2UoLY_J9owhSo6uW-JXkmV5QPZJszh2g==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0590,com.sortly.sortlyLabel,,,,,,,,,,7.09
"Balance, 32/20",S73XAT0592,,,,,,,,39,units,,5.25,204.75,40-02600,SUPER,<<Inventory>>,,,,,,,,,,,,,sy://o2/l_qrcode_us/S73XAT0592,com.sortly.sortlyLabel,,,,,,,,,,7.09
"Balance, 32/30",S73XAT0584,,,,,,,,39,units,,5.25,204.75,40-02650,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_jKCZcz71jCIc7qpQ6ipVynTSHBxfISSZkRHsLbvaoATysVpxloG_pg==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0584,com.sortly.sortlyLabel,,,,,,,,,,
"Balance, 33/30",S73XAT0750,,,,,,,,32,units,,0,0,40-03500,,<<Inventory>>,,,,,,,,,,,,,,,,,,,,,,,,6.95
"Balance, 33/40",S73XAT0600,,,,,,,,0,units,,5.75,0,40-02800,SUPER,<<Inventory>>,,,,,,,,,,,,,sy://o2/l_qrcode_us/S73XAT0600,com.sortly.sortlyLabel,,,,,,,,,,10.35
"Balance, 35/20",S73XAT0749,,,,,,,,18,units,,0,0,40-03100,,<<Inventory>>,,,,,,,,,,,,,,,,,,,,,,,,6.95
"Balance, 35/30",S73XAT0688,,,,,,,,0,units,,0,0,40-03200,SUPER,<<Inventory>>,,,,,,,,,,,,,,,,,,,,,,,,6.95
Battery AA 4 Pack,S73XAT0685,,,,,,,,0,units,,2.79,0,40-03650,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_YFngWRmyoEPtqNnE8PuTegSp8fBLIBcKiV0Y-mgJg8XEHNiGC-cUfA==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0685,com.sortly.sortlyLabel,1.00E+13,org.ansi.Interleaved2of5,,,,,,,,
Battery AA Duracell 2 pack,S73XAT0588,,,,,,,,101,units,,2.79,281.79,40-03600,SUPER,<<Inventory>>,,,,,,,,,,,,,,,,,,,,,,,,4.91
Battery AAA 4 Pack,S73XAT0684,,,,,,,,243,units,,2.79,677.97,40-03700,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_GlGlN_aQShPOmcwzhKA-I5kFP1rPDPYiQ1P_A5GMro1o38gZq3pHLw==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0684,com.sortly.sortlyLabel,39800099099,org.gs1.EAN-13,,,,,,,,3.77
"Battery, 9 volt",S73XAT0591,,,,,,,,3,units,,2.79,8.37,40-03800,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_vSuwV-TCZuEY1z6T2S9TZRT5Fh-EAe-2Bk-bKbHDiRsJ_wXIwMyhsw==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0591,com.sortly.sortlyLabel,1.00E+13,org.ansi.Interleaved2of5,,,,,,,,5.27
"Bleach, 1 gallon",S73XAT0589,,,,,,,,199,units,18,3.37,670.63,40-03850,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_9n-eWX5O-jbNnBy5c9P1zoAg8rHuFgVYMG7zEoLgNP4HJ3aGnJ5RLA==,,,,,,,,sy://o2/l_qrcode_us/S73XAT0589,com.sortly.sortlyLabel,22609000649,org.gs1.EAN-13,,,,,,1.00E+13,org.ansi.Interleaved2of5,4.89
"Bleach, 1 gallon",S73XAT0589,,,,,,,,168,units,,3.37,566.16,40-03850,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_XOZz1a3t06QTGRos1Si9wfmpYd88-MaZSfgQ1PUoJeG507YGpbrrog==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0589,com.sortly.sortlyLabel,22609000649,org.gs1.EAN-13,,,,,,,,
"Broom, Angle",S73XAT0605,,,,,,,,21,units,,5.56,116.76,40-04000,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_NKHjVHntKNZPISBDs7pkjy_qzkv2okaAyjD4Ygmy5dGqLoYWtHt_rg==,https://lnk.sortly.co/v2/downloads/photo/v2_WbvRi6JmtmA3jzuqhgWd4KL2i5BxqGu1Dv3VOFCvso9cBK0OitNNbA==,,,,,,,sy://o2/l_qrcode_us/S73XAT0605,com.sortly.sortlyLabel,8.14E+11,org.gs1.EAN-13,,,,,,,,9.13
"Broom, Push 18""",S73XAT0613,,,,,,,,0,units,,7.5,0,40-04100,SUPER,<<Inventory>>,,,,,,,,,,,,,,,,,,,,,,,,
"Buffing Machine Pads, 18"" Black",S73XAT0606,,,,,,,,16,units,,4.06,64.96,40-04152,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_hyVWEWXN_J-x-ItJjEFXE_vmGhIpIoSFE2JwLpm1xe5JRZm7Zwu8vQ==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0606,com.sortly.sortlyLabel,,,,,,,,,,5.48
"Buffing Machine Pads, 18"" Red",S73XAT0602,,,,,,,,5,units,,4.06,20.3,40-04151,SUPER,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_HCqFC5U5yfL1wEm5FquzmgYhrP3wcfP81b_EZZuIWzw1F9Iqkkd3CQ==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0602,com.sortly.sortlyLabel,,,,,,,,,,
"Bulbs, 2 ft fluors. 20 watt",S73XAT0464,,,,,,,,12,units,,2.52,30.24,20-00100,ELECTRIC,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2__7W46PmAmO5I89Zy66OPkS-c4xm3ziqCIYewISmeSECYcsTzCPuTWg==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0464,com.sortly.sortlyLabel,1.07E+13,org.ansi.Interleaved2of5,,,,,,,,3.4
"Bulbs, 32 watt circl. line",S73XAT0467,,,,,,,,75,units,,1.95,146.25,20-00200,"ELECTRIC, UOM",<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_v80vohaevNo1cW6tS4edK3ww9MdQ0yXLWw7s57tnyNF3XieUkRTQOA==,https://lnk.sortly.co/v2/downloads/photo/v2_zA4UQOQ-cIxBoICy5IPcDXZ_o4fSeFe4M9xp8nET22CZmaL4jOVtwg==,,,,,,,sy://o2/x_qrcode_us/S73XAT0467,com.sortly.sortlyLabel,1.07E+13,org.ansi.Interleaved2of5,,,,,,75877000323,org.gs1.EAN-13,4.5
"Bulbs, 4 ft fluors. 40 watt",S73XAT0692,,,,,,,,45,units,,1.85,83.25,20-00300,ELECTRIC,<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_dwCBDIVLOioPwSb1pw6HC8-Kkd2ac2rxJggeCblr_JA7zZq45EuSuw==,https://lnk.sortly.co/v2/downloads/photo/v2_TRohL_c86KpDKbhZPHQBPxQJ2xwcWGx9ZEDPXsyHR1UwIqwb7UEEHg==,,,,,,,,,6.54E+11,org.gs1.EAN-13,,,,,,1.07E+13,org.ansi.Interleaved2of5,2.95
"Bulbs, 60 watt frost white",S73XAT0453,,,,,,,,234,units,,0.45,105.3,20-00400,"ELECTRIC, UOM",<<Inventory>>,,,,,https://lnk.sortly.co/v2/downloads/photo/v2_Tcdd1cL_bm2HCiLYRXmnKeWBVX1LNKSAqycmpBC8EuoE5YhsEK0BAA==,,,,,,,,sy://o2/x_qrcode_us/S73XAT0453,com.sortly.sortlyLabel,6.54E+11,org.gs1.EAN-13,,,,,,1.07E+13,org.ansi.Interleaved2of5,1.25
